真实车牌 识别结果 图像路径名称
京NFJ582 京NFJ5828 蓝牌/_蓝牌_京NFJ582_201507271606308361.jpg
鄂H59338 粤BH59338 双黄/DB-20_双行黄牌_2018年06月19日10时33分18秒_02_鄂H59338_1__0_0_0_1.jpg
鄂H59338 粤BH59338 双黄/DB-20_双行黄牌_2018年06月19日10时33分18秒_02_鄂H59338_1__0_0_0_1.jpg
冀AB3886 京AB3886 双黄/出入口_大陆_双行黄牌_冀AB3886_丰田_大型客车_棕色_1920x1080_正常_白天_20180731113612952103147.jpg
京E69946 京京E粤69946 双黄/出入口_大陆_双行黄牌_京E69946_金杯_面包车_白色_960x540_正常_白天_20180731113740198100685.jpg
鄂N688Q挂 粤鲁6888挂 双黄/DB-20_双行黄牌_2018年06月19日21时05分20秒_02_鄂N688Q挂_1__0_0_0_1.jpg
赣E12245 Y赣E12245 双黄/_双行黄牌_赣E12245_.jpg
鄂APD515 桂AP05151 双黄/DB-20_双行黄牌_2018年06月19日19时41分11秒_02_鄂APD515_1__0_0_0_1.jpg
沪BG8146 苏沪BG8146 双黄/出入口_大陆_双行黄牌_沪BG8146_未知_中型货车_灰色_1280x720_正常_白天_20180731113923268100913.jpg
鄂D22226 粤BD22226 双黄/_鄂D22226_双行黄牌__00_217.jpg
冀FL3439 None 双黄/81-DB-20_双行黄牌_2018年06月19日22时03分37秒_02_冀FL3439_1__0_0_0_1.jpg
京E95219 京B95219 双黄/出入口_大陆_双行黄牌_京E95219_金杯_面包车_白色_1920x1080_大角度_白天_20180731113639786102605.jpg
鄂N688Q挂 粤鲁6888挂 双黄/DB-20_双行黄牌_2018年06月19日21时05分20秒_02_鄂N688Q挂_1__0_0_0_1.jpg
京E63968 京B63968 双黄/出入口_大陆_双行黄牌_京E63968_金杯_面包车_白色_1280x720_正常_白天_20180731113623197100681.jpg
沪BG8146 苏沪BG8146 双黄/出入口_大陆_双行黄牌_沪BG8146_未知_中型货车_灰色_1280x720_正常_白天_20180731113923268100913.jpg
赣D95156 贵D95156 单黄/_单行黄牌_y_赣D95156_2018032311022082517615_.jpg
赣F63789 苏粤ABJB辽京D 单黄/_单行黄牌_y_赣F63789_2018032311020819517546_.jpg
赣C99727 C9972京B1 单黄/_单行黄牌_y_赣C99727_2018032311020325717525_.jpg
鄂H0C650 鄂H0C650 单黄/_单行黄牌_y_鄂H0C650_2018032311021880917606_.jpg
闽AC0160 京AC0166 单黄/_单行黄牌_y_闽AC0160_2018032311021584017594_.jpg
鄂H0C099 鄂H0C099 单黄/_单行黄牌_y_鄂H0C099_2018032311021963717610_.jpg
赣C99727 C9972京B1 单黄/_单行黄牌_y_赣C99727_2018032311020325717525_.jpg
皖AB0997 苏AB099粤京1 单黄/_单行黄牌_y_皖AB0997_2018032311021549617592_.jpg
闽AC0160 京AC0166 单黄/_单行黄牌_y_闽AC0160_2018032311021584017594_.jpg
鄂FLD536 闽E1D536京G31 单黄/_单行黄牌_y_鄂FLD536_2018032311015669417491_.jpg
鄂H0C655 鄂H0C655 单黄/_单行黄牌_y_鄂H0C655_2018032311021918417608_.jpg
赣F63789 苏粤ABJB辽京D 单黄/_单行黄牌_y_赣F63789_2018032311020819517546_.jpg
粤BN5037 粤BN5037京GDG0491 单黄/_单行黄牌_粤BN5037_201803221745184956320_.jpg
辽L34261 None 单黄/_单行黄牌_y_辽L34261_2018032311015086517458_.jpg
粤RU5060 粤BU5060 单黄/_单行黄牌_粤RU5060_201803221742149285727_.jpg
粤BY5657 NA豫8719 单黄/_单行黄牌_粤BY5657_201803221718493091556_.jpg
京OA0155 京0A0155 单黄/出入口_大陆_单行黄牌_京OA0155_上海汇众_面包车_白色_1280x720_正常_白天_20180727110057629102092.jpg
粤B05790D 粤B057900 黄绿新能源/_黄绿新能源_粤B05790D_201802241051347990129_.jpg
粤B31815D 粤B318150 黄绿新能源/_黄绿新能源_002_02_L_02_O_0000000000_20170811074243_粤B31815D_.jpg
粤B76093D 粤B760930 黄绿新能源/_黄绿新能源_粤B76093D_201802241052420890583_.jpg
粤B06723D 粤B067230 黄绿新能源/_黄绿新能源_粤B06723D_3.jpg
粤B03602D 粤B036020 黄绿新能源/_黄绿新能源_粤B03602D_13.jpg
粤B39313D 粤B39313D 黄绿新能源/_黄绿新能源_019_01_L_01_I_0000000000_20171025100354_粤B39313D_.jpg
粤B01083D 粤B010830 黄绿新能源/_黄绿新能源_粤B01083D_201802241051169030033_.jpg
粤B01083D 粤B010830 黄绿新能源/_黄绿新能源_粤B01083D_201802241051169030033_.jpg
苏A18808D 苏A188080 黄绿新能源/_黄绿新能源_苏A18808D_2.jpg
粤B76093D 粤B760930 黄绿新能源/_黄绿新能源_粤B76093D_201802241052420890583_.jpg
粤B01083D 粤B010830 黄绿新能源/_黄绿新能源_粤B01083D_201802241051169030033_.jpg
粤B76068D 粤B76068D 黄绿新能源/_黄绿新能源_粤B76068D_201802241052419870582_.jpg
粤B34098D 粤B340980 黄绿新能源/_黄绿新能源_002_02_L_02_O_0000000000_20170811062304_粤B34098D_.jpg
